PEDON_ID,Fe2O3,MnO,P2O5,SiO2,TiO2,ZrO2,Al2O3,CaO,Na2O,MgO,K2O,Fe2O3_mol,MnO_mol,P2O5_mol,SiO2_mol,TiO2_mol,ZrO2_mol,Al2O3_mol,CaO_mol,Na2O_mol,MgO_mol,K2O_mol,lCaO,cl_MAP,cl_MAT,Till,SubglacialTill,lCaO_mol,PRESS,factor1,factor2,factor3,factor4
05N0883,2.02,0.04,0.06,75.99,0.45,0.01,7.78,1.23,2.14,0.38,2.3,0.13,0.01,0,12.65,0.06,0,0.76,0.22,0.35,0.1,0.24,0.207014169,1216.95,10.57,,,-1.514127733,615.3447836,-1.832737988,-0.464070099,0.864455761,0.159180576
06N0243,1.9,0.04,0.09,32.16,0.26,0.01,5.77,21.49,0.75,3.88,1.26,0.12,0.01,0,5.35,0.03,0,0.57,3.83,0.12,0.96,0.13,3.067587711,342.14,7.15,,,1.342864803,-93.4214607,-0.999097824,0.205923471,-3.980076698,1.558249115
06N0248,2.01,0.04,0.06,30.34,0.25,0.01,5.55,27.13,0.69,4.06,1.1,0.13,0.01,0,5.05,0.03,0,0.54,4.84,0.11,1.01,0.12,3.300640127,311.38,6.875,,,1.576914721,10.15091559,-1.097185538,0.194336858,-4.922630034,1.571508626
06N0250,5.06,0.08,0.07,63.57,0.73,0.02,12.05,1.64,1.84,0.89,2.11,0.32,0.01,0,10.58,0.09,0,1.18,0.29,0.3,0.22,0.22,0.494696242,340.76,7.48,,,-1.237874356,-517.4534606,-0.560656117,-0.50324375,0.488361905,0.065390265
06N0251,4.93,0.1,0.19,65.03,0.56,0.02,12.19,2.31,2.87,1.03,3.03,0.31,0.01,0.01,10.82,0.07,0,1.2,0.41,0.46,0.26,0.32,0.837247525,305.55,5.905,,,-0.891598119,-208.053919,-1.552388053,-2.303604208,0.79526833,0.168547668
06N0252,2.46,0.05,0.08,55.68,0.33,0.01,8.56,14.15,1.34,2.45,2.06,0.15,0.01,0,9.27,0.04,0,0.84,2.52,0.22,0.61,0.22,2.649714624,273.07,6.89,,,0.924258902,-128.858572,-1.539000762,-0.379469157,-1.914181198,0.574742899
06N0256,1.95,0.24,0.03,90.1,0.61,0.02,4.68,0.12,0.07,0.2,0.55,0.12,0.03,0,15,0.08,0,0.46,0.02,0.01,0.05,0.06,-2.120263536,1441.85,15.99,,,-3.912023005,423.1939694,-0.236833878,1.722367729,0.213794325,-0.677349973
06N0529,4.57,0.12,0.16,74.15,0.74,0.03,11.84,0.42,0.92,0.92,2.41,0.29,0.02,0.01,12.34,0.09,0,1.16,0.07,0.15,0.23,0.26,-0.867500568,1210.17,13.49,,,-2.659260037,395.8432097,-0.387927523,-0.689588096,0.516405447,-0.707641718
06N0678,17.8,0.17,0.25,23.57,2.17,0.01,8.88,1.54,0.19,11.38,0.09,1.11,0.02,0.01,3.92,0.27,0,0.87,0.27,0.03,2.82,0.01,0.431782416,3955.78,21.67,,,-1.30933332,1452.54576,4.244623662,-0.095183495,0.348079916,6.194978106
06N0680,21.18,0.17,0.3,20.62,4.02,0.02,11.45,2.45,0.39,2.94,0.13,1.33,0.02,0.01,3.43,0.5,0,1.12,0.44,0.06,0.73,0.01,0.896088025,3780.01,21.755,,,-0.820980552,824.9670802,6.480434504,0.650620699,0.525215506,3.616077148
06N0683,12.64,0.22,0.39,22.68,2.04,0.02,14.94,2.79,0.37,3.79,0.12,0.79,0.03,0.01,3.77,0.26,0,1.47,0.5,0.06,0.94,0.01,1.026041596,6865.68,17.175,,,-0.693147181,4932.51542,4.15111578,-0.126050189,-0.964026281,1.622729598
06N0830,3.83,0.01,0.03,75.69,0.76,0.01,12.35,0.06,0.01,0.15,0.18,0.24,0,0,12.6,0.09,0,1.21,0.01,0,0.04,0.02,-2.813410717,1179.72,16.755,,,-4.605170186,-52.97246551,0.781891384,2.282642542,-0.23707966,-1.001837489
06N0834,3.62,0.01,0.04,67.92,0.72,0.01,10.7,0.03,0.01,0.07,0.17,0.23,0,0,11.31,0.09,0,1.05,0.01,0,0.02,0.02,-3.506557897,1188.4,16.79,,,-4.605170186,-69.70164709,0.810379225,2.312588042,-0.388567072,-0.639665479
06N0835,5.21,0.01,0.04,57.91,0.89,0.01,16.53,0.04,0.02,0.08,0.33,0.33,0,0,9.64,0.11,0,1.62,0.01,0,0.02,0.04,-3.218875825,1191.01,16.825,,,-4.605170186,-141.6203448,1.609672165,1.853309254,-0.628500694,-1.225931103
06N0840,3.28,0,0.05,74.22,0.49,0.01,13.69,0.04,0.03,0.07,0.44,0.21,0,0,12.35,0.06,0,1.34,0.01,0.01,0.02,0.05,-3.218875825,1198.35,16.78,,,-4.605170186,109.9683613,0.486753167,1.986544971,-0.358057302,-1.360179944
06N0898,3.95,0.02,0.06,79.82,0.7,0.03,7.64,0.03,0.06,0.3,0.88,0.25,0,0,13.29,0.09,0,0.75,0,0.01,0.07,0.09,-3.506557897,1235.24,10.635,,,,51.99836533,0.074875697,2.176658314,0.286458571,-0.229684369
06N0899,2.85,0.01,0.02,85.45,1.12,0.03,6.72,0.03,0.08,0.23,0.58,0.18,0,0,14.22,0.14,0,0.66,0.01,0.01,0.06,0.06,-3.506557897,1258.78,9.815,,,-4.605170186,-30.92981803,0.229943437,2.504115236,0.487838994,-0.034206161
06N0904,4.68,0.03,0.09,70.42,1.05,0.03,15.84,0.06,0.25,0.8,2.77,0.29,0,0,11.72,0.13,0,1.55,0.01,0.04,0.2,0.29,-2.813410717,1295.68,10.49,,,-4.605170186,249.5147598,0.123569341,0.64347663,0.62133395,-0.873975993
06N0905,3.41,0.09,0.05,79.76,0.97,0.03,10.14,0.05,0.16,0.46,1.55,0.21,0.01,0,13.28,0.12,0,0.99,0.01,0.03,0.11,0.16,-2.995732274,1352.24,9.755,,,-4.605170186,249.9920382,0.062193107,1.400819745,0.467010239,-0.593351537
06N0906,5.52,0.07,0.08,77.91,0.79,0.03,10.55,0.03,0.1,0.43,1.64,0.35,0.01,0,12.97,0.1,0,1.04,0,0.02,0.11,0.17,-3.506557897,1350.13,9.875,,,,214.3816514,0.252719012,1.29617842,0.46456962,-0.635028043
06N0909,5.15,0.04,0.11,63.11,1.05,0.02,16.32,0.06,0.27,0.86,3.37,0.32,0.01,0,10.5,0.13,0,1.6,0.01,0.04,0.21,0.36,-2.813410717,1224.38,10.64,,,-4.605170186,246.3861348,0.126831438,-0.05221874,0.594138679,-0.96114106
06N0910,2.06,0.02,0.03,86.04,1.02,0.03,5.72,0.04,0.08,0.3,0.65,0.13,0,0,14.32,0.13,0,0.56,0.01,0.01,0.07,0.07,-3.218875825,1132.23,10.205,,,-4.605170186,-97.97221244,-0.052790377,2.50793204,0.491130011,0.050697385
06N0911,4.87,0.03,0.06,74.31,1.02,0.03,12.77,0.05,0.25,0.54,2.01,0.3,0,0,12.37,0.13,0,1.25,0.01,0.04,0.13,0.21,-2.995732274,1400,9.895,,,-4.605170186,255.079256,0.235313976,1.216441523,0.581565847,-0.562607465
06N1044,15.03,0.16,0.36,44.06,2.63,0.03,20.61,0.24,0.09,0.97,0.55,0.94,0.02,0.01,7.33,0.33,0,2.02,0.04,0.01,0.24,0.06,-1.427116356,1859.79,9.71,,,-3.218875825,-304.692857,4.828860611,0.411642234,0.061894417,-0.252120192
06N1045,5.08,0.04,0.04,67.32,0.98,0.01,12.43,0.52,0.98,0.76,1.89,0.32,0.01,0,11.2,0.12,0,1.22,0.09,0.16,0.19,0.2,-0.653926467,1262.12,11.01,,,-2.407945609,203.2838613,0.103899223,0.328223649,0.500776521,-0.254491524
06N1095,2.38,0.03,0.04,74.01,0.3,0.01,8.32,5.77,1.02,0.92,2.31,0.15,0,0,12.32,0.04,0,0.82,1.03,0.16,0.23,0.24,1.752672081,257.28,16.805,,,0.029558802,-336.2754258,-1.582987887,0.509928171,-0.26375474,-0.093822806
06N1097,0.2,0.01,0.02,7.81,0.04,0,0.86,28.15,0.17,0.17,0.31,0.01,0,0,1.3,0.01,0,0.08,5.02,0.03,0.04,0.03,3.337547355,255.1,16.87,,,1.613429934,-41.61942924,-0.709718168,1.642890709,-6.316502196,0.911342159
06N1098,1.85,0.03,0.1,31.72,0.27,0.01,5.13,21.42,0.53,1.71,1.35,0.12,0,0,5.28,0.03,0,0.5,3.82,0.09,0.43,0.14,3.064325065,254.13,16.125,,,1.340250423,-154.9963644,-1.024637099,0.804129126,-4.088108854,0.919871828
06N1101,2.63,0.06,0.08,77.35,0.38,0.01,8.65,3.59,1.14,1.24,2.49,0.16,0.01,0,12.87,0.05,0,0.85,0.64,0.18,0.31,0.26,1.278152203,258.32,16.86,,,-0.446287103,-370.0389411,-1.534839905,0.072637839,0.259985267,-0.101760817
